date_id,date,year,month,day,qrt,month_name
1,"2023-01-01 00:00:00,000",2023,1,1,1,"January"
2,"2023-01-02 00:00:00,000",2023,1,2,1,"January"
3,"2023-01-03 00:00:00,000",2023,1,3,1,"January"
4,"2023-01-04 00:00:00,000",2023,1,4,1,"January"
5,"2023-01-05 00:00:00,000",2023,1,5,1,"January"
6,"2023-01-06 00:00:00,000",2023,1,6,1,"January"
7,"2023-01-07 00:00:00,000",2023,1,7,1,"January"
8,"2023-01-08 00:00:00,000",2023,1,8,1,"January"
9,"2023-01-09 00:00:00,000",2023,1,9,1,"January"
10,"2023-01-10 00:00:00,000",2023,1,10,1,"January"
11,"2023-01-11 00:00:00,000",2023,1,11,1,"January"
12,"2023-01-12 00:00:00,000",2023,1,12,1,"January"
13,"2023-01-13 00:00:00,000",2023,1,13,1,"January"
14,"2023-01-14 00:00:00,000",2023,1,14,1,"January"
15,"2023-01-15 00:00:00,000",2023,1,15,1,"January"
16,"2023-01-16 00:00:00,000",2023,1,16,1,"January"
17,"2023-01-17 00:00:00,000",2023,1,17,1,"January"
18,"2023-01-18 00:00:00,000",2023,1,18,1,"January"
19,"2023-01-19 00:00:00,000",2023,1,19,1,"January"
20,"2023-01-20 00:00:00,000",2023,1,20,1,"January"
21,"2023-01-21 00:00:00,000",2023,1,21,1,"January"
22,"2023-01-22 00:00:00,000",2023,1,22,1,"January"
23,"2023-01-23 00:00:00,000",2023,1,23,1,"January"
24,"2023-01-24 00:00:00,000",2023,1,24,1,"January"
25,"2023-01-25 00:00:00,000",2023,1,25,1,"January"
26,"2023-01-26 00:00:00,000",2023,1,26,1,"January"
27,"2023-01-27 00:00:00,000",2023,1,27,1,"January"
28,"2023-01-28 00:00:00,000",2023,1,28,1,"January"
29,"2023-01-29 00:00:00,000",2023,1,29,1,"January"
30,"2023-01-30 00:00:00,000",2023,1,30,1,"January"
31,"2023-01-31 00:00:00,000",2023,1,31,1,"January"
32,"2023-02-01 00:00:00,000",2023,2,1,1,"February"
33,"2023-02-02 00:00:00,000",2023,2,2,1,"February"
34,"2023-02-03 00:00:00,000",2023,2,3,1,"February"
35,"2023-02-04 00:00:00,000",2023,2,4,1,"February"
36,"2023-02-05 00:00:00,000",2023,2,5,1,"February"
37,"2023-02-06 00:00:00,000",2023,2,6,1,"February"
38,"2023-02-07 00:00:00,000",2023,2,7,1,"February"
39,"2023-02-08 00:00:00,000",2023,2,8,1,"February"
40,"2023-02-09 00:00:00,000",2023,2,9,1,"February"
41,"2023-02-10 00:00:00,000",2023,2,10,1,"February"
42,"2023-02-11 00:00:00,000",2023,2,11,1,"February"
43,"2023-02-12 00:00:00,000",2023,2,12,1,"February"
44,"2023-02-13 00:00:00,000",2023,2,13,1,"February"
45,"2023-02-14 00:00:00,000",2023,2,14,1,"February"
46,"2023-02-15 00:00:00,000",2023,2,15,1,"February"
47,"2023-02-16 00:00:00,000",2023,2,16,1,"February"
48,"2023-02-17 00:00:00,000",2023,2,17,1,"February"
49,"2023-02-18 00:00:00,000",2023,2,18,1,"February"
50,"2023-02-19 00:00:00,000",2023,2,19,1,"February"
51,"2023-02-20 00:00:00,000",2023,2,20,1,"February"
52,"2023-02-21 00:00:00,000",2023,2,21,1,"February"
53,"2023-02-22 00:00:00,000",2023,2,22,1,"February"
54,"2023-02-23 00:00:00,000",2023,2,23,1,"February"
55,"2023-02-24 00:00:00,000",2023,2,24,1,"February"
56,"2023-02-25 00:00:00,000",2023,2,25,1,"February"
57,"2023-02-26 00:00:00,000",2023,2,26,1,"February"
58,"2023-02-27 00:00:00,000",2023,2,27,1,"February"
59,"2023-02-28 00:00:00,000",2023,2,28,1,"February"
60,"2023-03-01 00:00:00,000",2023,3,1,1,"March"
61,"2023-03-02 00:00:00,000",2023,3,2,1,"March"
62,"2023-03-03 00:00:00,000",2023,3,3,1,"March"
63,"2023-03-04 00:00:00,000",2023,3,4,1,"March"
64,"2023-03-05 00:00:00,000",2023,3,5,1,"March"
65,"2023-03-06 00:00:00,000",2023,3,6,1,"March"
66,"2023-03-07 00:00:00,000",2023,3,7,1,"March"
67,"2023-03-08 00:00:00,000",2023,3,8,1,"March"
68,"2023-03-09 00:00:00,000",2023,3,9,1,"March"
69,"2023-03-10 00:00:00,000",2023,3,10,1,"March"
70,"2023-03-11 00:00:00,000",2023,3,11,1,"March"
71,"2023-03-12 00:00:00,000",2023,3,12,1,"March"
72,"2023-03-13 00:00:00,000",2023,3,13,1,"March"
73,"2023-03-14 00:00:00,000",2023,3,14,1,"March"
74,"2023-03-15 00:00:00,000",2023,3,15,1,"March"
75,"2023-03-16 00:00:00,000",2023,3,16,1,"March"
76,"2023-03-17 00:00:00,000",2023,3,17,1,"March"
77,"2023-03-18 00:00:00,000",2023,3,18,1,"March"
78,"2023-03-19 00:00:00,000",2023,3,19,1,"March"
79,"2023-03-20 00:00:00,000",2023,3,20,1,"March"
80,"2023-03-21 00:00:00,000",2023,3,21,1,"March"
81,"2023-03-22 00:00:00,000",2023,3,22,1,"March"
